บริษัท เอ็น ซี อินเตอร์เนชั่นแนล,144/1-4 ถนนรัตนาธิเบศร์ ตำบลบางรักพัฒนา,บางบัวทอง,02-9266215-7
บริษัท แสงชัยมอเตอร์เซลส์ จำกัด,30 ถนนราชดำเนิน ตำบลศรีภูมิ,เมืองเชียงใหม่,"053-211381, 053-213017,"
บริษัท มิตซูเชียงใหม่ จำกัด,568/1 ถนนเชียงใหม่ -ลำปาง ตำบลท่าศาลา,เมืองเชียงใหม่,"053-432222, 086-1894670"
บริษัท แสงชัยมอเตอร์เซลส์ จำกัด,207 หมู่ที่ 1 ถนนเชียงใหม่-แม่โจ้ ตำบลฟ้าฮ่าม,เมืองเชียงใหม่,"053-262299, 053-2262444,"
บริษัท มิตซูเชียงใหม่ จำกัด,270/2 หมู่ที่ 1 ตำบลศาลา,เกาะคา,054-328069
บริษัท มิตซูล้านนาบอดี้เพ้นท์ จำกัด,88 หมู่ที่ 8 ตำบลนางแล,เมืองเชียงราย,"053-176666,089-4318989"
บริษัท ทีวีแอล ออโต้,1351/2 หมู่ที่ 10 ถนนนครสวรรค์-พิษณุโลก,เมืองนครสวรรค์,"056-228124,089-5666406"
บริษัท วี กรุ๊ป มิตซูออโต้เซลล์ จำกัด,999 หมู่ที่ 7 ตำบลสมอแข,เมืองพิษณุโลก,055-338777-9
บริษัท มิตซูออโต้เพชรบูรณ์ จำกัด,9/9 หมู่ที่ 5 ตำบลบ้านโตก,เมืองเพชรบูรณ์,097-2303717
บริษัท ตระการมอเตอร์ จำกัด,422 หมู่ที่ 3 ตำบลโคกหม้อ,เมืองราชบุรี,032-911111-3
บริษัท ช.เอรวัณร่วมทุนธุรกิจ จำกัด,31/2-7 หมู่ที่ 8 ถนนแสงชูโต ตำบลท่าไม้,ท่ามะกา,"034-566305-6, 089-8916525"
บริษัท มิตซูกาญจนบุรี จำกัด,133/1 ถนนแสงชูโตเหนือ ตำบลท่ามะขาม,เมืองกาญจนบุรี,034-625113-5
บริษัท มิตซู ช.เอราวัณ สุพรรณบุรี,257/3 หมู่ที่ 5 ตำบลท่าระหัด,เมืองสุพรรณบุรี,"035-526002-5, 081-6269256"
บริษัท มุ้ยฮวดมอเตอร์เซลล์ จำกัด,59/9 หมู่ที่ 5 ถนนเพชรเกษม ตำบลศรีษะทอง,นครชัยศรี,"034-395522, 086-3371463"
บริษัท มุ้ยฮวดมอเตอร์เซลล์ จำกัด,167 หมู่ที่ 6 ถนนพระราม 2 ตำบลบางแก้ว,เมืองสมุทรสงคราม,"034-773555, 091-7111131,"
บริษัท มิตซู เพชรบุรี จำกัด,75 หมู่ที่ 1 ถนนเพชรเกษม ตำบลต้นมะม่วง,เมืองเพชรบุรี,081-9048666
บริษัท เพชรมิตซู จำกัด,73 หมู่ที่ 1 ถนนเพชรเกษม ตำบลหัวสะพาน,เมืองเพชรบุรี,032-771515
บริษัท มิตซูชะอำ (สิทธิภัณฑ์) จำกัด,329/1 ถนนเพชรเกษม (ชะอำ) ตำบลชะอำ,ชะอำ,"032-471009, 099-1129888"
บริษัท ปราณบุรีพรีเมียร์ซัพพลาย,629 หมู่ที่ 4 ถนนเพชรเกษม ตำบลเขาน้อย,ปราณบุรี,081-6899800
บริษัท จ.วินิต จำกัด,20 ถนนพัฒนาการคูขวาง ตำบลในเมือง,เมืองนครศรีธรรมราช,075-321532-3
บริษัท จ.วินิต จำกัด,239 หมู่ที่ 2 ตำบลชะมาย,ทุ่งสง,"075-420956-7,075-412798-9"
